group_desc,commodity_desc,class_desc,prodn_practice_desc,statisticcat_desc,unit_desc,domain_desc,domaincat_desc
ANIMAL TOTALS,ANIMAL TOTALS,INCL PRODUCTS,ALL PRODUCTION PRACTICES,SALES,$,PRODUCERS,"PRODUCERS, PRINCIPAL: (SEX = FEMALE)"
ANIMAL TOTALS,ANIMAL TOTALS,INCL PRODUCTS,ALL PRODUCTION PRACTICES,SALES,OPERATIONS,PRODUCERS,"PRODUCERS, PRINCIPAL: (SEX = FEMALE)"
ANIMAL TOTALS,ANIMAL TOTALS,INCL PRODUCTS,ALL PRODUCTION PRACTICES,SALES,PCT OF FARM SALES,PRODUCERS,"PRODUCERS, PRINCIPAL: (SEX = FEMALE)"
AQUACULTURE,AQUACULTURE TOTALS,ALL CLASSES,ALL PRODUCTION PRACTICES,SALES & DISTRIBUTION,$,PRODUCERS,"PRODUCERS, PRINCIPAL: (SEX = FEMALE)"
AQUACULTURE,AQUACULTURE TOTALS,ALL CLASSES,ALL PRODUCTION PRACTICES,SALES & DISTRIBUTION,OPERATIONS,PRODUCERS,"PRODUCERS, PRINCIPAL: (SEX = FEMALE)"
CROP TOTALS,CROP TOTALS,ALL CLASSES,ALL PRODUCTION PRACTICES,SALES,$,PRODUCERS,"PRODUCERS, PRINCIPAL: (SEX = FEMALE)"
CROP TOTALS,CROP TOTALS,ALL CLASSES,ALL PRODUCTION PRACTICES,SALES,OPERATIONS,PRODUCERS,"PRODUCERS, PRINCIPAL: (SEX = FEMALE)"
CROP TOTALS,CROP TOTALS,ALL CLASSES,ALL PRODUCTION PRACTICES,SALES,PCT OF FARM SALES,PRODUCERS,"PRODUCERS, PRINCIPAL: (SEX = FEMALE)"
DAIRY,MILK,ALL CLASSES,ALL PRODUCTION PRACTICES,SALES,$,PRODUCERS,"PRODUCERS, PRINCIPAL: (SEX = FEMALE)"
DAIRY,MILK,ALL CLASSES,ALL PRODUCTION PRACTICES,SALES,OPERATIONS,PRODUCERS,"PRODUCERS, PRINCIPAL: (SEX = FEMALE)"
EXPENSES,EXPENSE TOTALS,OPERATING,ALL PRODUCTION PRACTICES,EXPENSE,$,PRODUCERS,"PRODUCERS, PRINCIPAL: (SEX = FEMALE)"
EXPENSES,EXPENSE TOTALS,OPERATING,ALL PRODUCTION PRACTICES,EXPENSE,$ / OPERATION,PRODUCERS,"PRODUCERS, PRINCIPAL: (SEX = FEMALE)"
EXPENSES,LABOR,HIRED,ALL PRODUCTION PRACTICES,WORKERS,PCT OF FARM OPERATIONS,PRODUCERS,"PRODUCERS, PRINCIPAL: (SEX = FEMALE)"
FARMS & LAND & ASSETS,AG LAND,(EXCL CROPLAND & PASTURELAND & WOODLAND),ALL PRODUCTION PRACTICES,AREA,PCT OF AG LAND,PRODUCERS,"PRODUCERS, PRINCIPAL: (SEX = FEMALE)"
FARMS & LAND & ASSETS,AG LAND,ALL CLASSES,"OWNED, IN FARMS",AREA,ACRES,TENURE,TENURE: (PART OWNER)
FARMS & LAND & ASSETS,AG LAND,ALL CLASSES,"RENTED FROM OTHERS, IN FARMS",AREA,ACRES,TENURE,TENURE: (PART OWNER)
FARMS & LAND & ASSETS,AG LAND,CROPLAND,ALL PRODUCTION PRACTICES,AREA,PCT OF AG LAND,PRODUCERS,"PRODUCERS, PRINCIPAL: (SEX = FEMALE)"
FARMS & LAND & ASSETS,AG LAND,"CROPLAND, HARVESTED",ALL PRODUCTION PRACTICES,AREA,ACRES,TENURE,TENURE: (FULL OWNER)
FARMS & LAND & ASSETS,AG LAND,"CROPLAND, HARVESTED",ALL PRODUCTION PRACTICES,AREA,ACRES,TENURE,TENURE: (PART OWNER)
FARMS & LAND & ASSETS,AG LAND,"CROPLAND, HARVESTED",ALL PRODUCTION PRACTICES,AREA,ACRES,TENURE,TENURE: (TENANT)
