group_desc,commodity_desc,class_desc,prodn_practice_desc,statisticcat_desc,unit_desc,domain_desc,domaincat_desc
FARMS & LAND & ASSETS,AG LAND,(EXCL CROPLAND & PASTURELAND & WOODLAND),ALL PRODUCTION PRACTICES,AREA,OPERATIONS,AREA,AREA: (100 OR MORE ACRES)
FARMS & LAND & ASSETS,AG LAND,(EXCL CROPLAND & PASTURELAND & WOODLAND),ALL PRODUCTION PRACTICES,AREA,OPERATIONS,TOTAL,NOT SPECIFIED
FARMS & LAND & ASSETS,AG LAND,"CROPLAND, (EXCL HARVESTED & PASTURED), ALL CROPS FAILED",ALL PRODUCTION PRACTICES,AREA,OPERATIONS,TOTAL,NOT SPECIFIED
FARMS & LAND & ASSETS,AG LAND,"CROPLAND, (EXCL HARVESTED & PASTURED), CULTIVATED SUMMER FALLOW",ALL PRODUCTION PRACTICES,AREA,OPERATIONS,TOTAL,NOT SPECIFIED
FARMS & LAND & ASSETS,AG LAND,"CROPLAND, (EXCL HARVESTED & PASTURED), IDLE",ALL PRODUCTION PRACTICES,AREA,OPERATIONS,TOTAL,NOT SPECIFIED
FARMS & LAND & ASSETS,AG LAND,"CROPLAND, HARVESTED",ALL PRODUCTION PRACTICES,AREA,OPERATIONS,AREA HARVESTED,AREA HARVESTED: (1.0 TO 49.9 ACRES)
FARMS & LAND & ASSETS,AG LAND,"CROPLAND, HARVESTED",ALL PRODUCTION PRACTICES,AREA,OPERATIONS,AREA HARVESTED,AREA HARVESTED: (50 TO 499 ACRES)
FARMS & LAND & ASSETS,AG LAND,"CROPLAND, HARVESTED",ALL PRODUCTION PRACTICES,AREA,OPERATIONS,AREA HARVESTED,AREA HARVESTED: (500 OR MORE ACRES)
FARMS & LAND & ASSETS,AG LAND,"CROPLAND, HARVESTED",ALL PRODUCTION PRACTICES,AREA,OPERATIONS,TOTAL,NOT SPECIFIED
FARMS & LAND & ASSETS,AG LAND,"CROPLAND, PASTURED ONLY",ALL PRODUCTION PRACTICES,AREA,OPERATIONS,TOTAL,NOT SPECIFIED
FARMS & LAND & ASSETS,AG LAND,"PASTURELAND, (EXCL CROPLAND & WOODLAND)",ALL PRODUCTION PRACTICES,AREA,OPERATIONS,AREA,AREA: (100 OR MORE ACRES)
FARMS & LAND & ASSETS,AG LAND,"PASTURELAND, (EXCL CROPLAND & WOODLAND)",ALL PRODUCTION PRACTICES,AREA,OPERATIONS,TOTAL,NOT SPECIFIED
FARMS & LAND & ASSETS,AG LAND,WOODLAND,ALL PRODUCTION PRACTICES,AREA,OPERATIONS,TOTAL,NOT SPECIFIED
FARMS & LAND & ASSETS,FARM OPERATIONS,ALL CLASSES,ALL PRODUCTION PRACTICES,OPERATIONS,OPERATIONS,AREA OPERATED,"AREA OPERATED: (1,000 OR MORE ACRES)"
FARMS & LAND & ASSETS,FARM OPERATIONS,ALL CLASSES,ALL PRODUCTION PRACTICES,OPERATIONS,OPERATIONS,AREA OPERATED,AREA OPERATED: (1.0 TO 49.9 ACRES)
FARMS & LAND & ASSETS,FARM OPERATIONS,ALL CLASSES,ALL PRODUCTION PRACTICES,OPERATIONS,OPERATIONS,AREA OPERATED,AREA OPERATED: (50 TO 999 ACRES)
FARMS & LAND & ASSETS,FARM OPERATIONS,ALL CLASSES,ALL PRODUCTION PRACTICES,OPERATIONS,OPERATIONS,TOTAL,NOT SPECIFIED
FARMS & LAND & ASSETS,GOVT PROGRAMS,"FEDERAL, CONSERVATION & WETLANDS",ALL PRODUCTION PRACTICES,AREA,OPERATIONS,TOTAL,NOT SPECIFIED
