group_desc,commodity_desc,class_desc,prodn_practice_desc,statisticcat_desc,unit_desc,domain_desc,domaincat_desc
ENERGY,ENERGY,"RENEWABLE, HARVEST BIOMASS FOR PRODUCTION",ALL PRODUCTION PRACTICES,OPERATIONS,OPERATIONS,TOTAL,NOT SPECIFIED
EXPENSES,AG SERVICES,"CUSTOM SERVICES FOR LIVESTOCK, INCL MEDICAL SUPPLIES & VETERINARY",ALL PRODUCTION PRACTICES,EXPENSE,$,TOTAL,NOT SPECIFIED
EXPENSES,AG SERVICES,"CUSTOM SERVICES FOR LIVESTOCK, INCL MEDICAL SUPPLIES & VETERINARY",ALL PRODUCTION PRACTICES,EXPENSE,OPERATIONS,TOTAL,NOT SPECIFIED
EXPENSES,AG SERVICES,CUSTOMWORK,ALL PRODUCTION PRACTICES,EXPENSE,$,TOTAL,NOT SPECIFIED
EXPENSES,AG SERVICES,CUSTOMWORK,ALL PRODUCTION PRACTICES,EXPENSE,OPERATIONS,TOTAL,NOT SPECIFIED
EXPENSES,AG SERVICES,MACHINERY RENTAL,ALL PRODUCTION PRACTICES,EXPENSE,$,TOTAL,NOT SPECIFIED
EXPENSES,AG SERVICES,MACHINERY RENTAL,ALL PRODUCTION PRACTICES,EXPENSE,OPERATIONS,TOTAL,NOT SPECIFIED
EXPENSES,AG SERVICES,OTHER,ALL PRODUCTION PRACTICES,EXPENSE,$,TOTAL,NOT SPECIFIED
EXPENSES,AG SERVICES,OTHER,ALL PRODUCTION PRACTICES,EXPENSE,OPERATIONS,TOTAL,NOT SPECIFIED
EXPENSES,AG SERVICES,UTILITIES,ALL PRODUCTION PRACTICES,EXPENSE,$,TOTAL,NOT SPECIFIED
EXPENSES,AG SERVICES,UTILITIES,ALL PRODUCTION PRACTICES,EXPENSE,OPERATIONS,TOTAL,NOT SPECIFIED
EXPENSES,ANIMAL TOTALS,(EXCL BREEDING),ALL PRODUCTION PRACTICES,EXPENSE,$,TOTAL,NOT SPECIFIED
EXPENSES,ANIMAL TOTALS,(EXCL BREEDING),ALL PRODUCTION PRACTICES,EXPENSE,OPERATIONS,TOTAL,NOT SPECIFIED
