group_desc,commodity_desc,class_desc,prodn_practice_desc,statisticcat_desc,unit_desc,domain_desc,domaincat_desc
FARMS & LAND & ASSETS,FARM OPERATIONS,ALL CLASSES,ALL PRODUCTION PRACTICES,OPERATIONS,OPERATIONS,TENURE,TENURE: (FULL OWNER)
FARMS & LAND & ASSETS,FARM OPERATIONS,ALL CLASSES,ALL PRODUCTION PRACTICES,OPERATIONS,OPERATIONS,TENURE,TENURE: (PART OWNER)
FARMS & LAND & ASSETS,FARM OPERATIONS,ALL CLASSES,ALL PRODUCTION PRACTICES,OPERATIONS,OPERATIONS,TENURE,TENURE: (TENANT)
FARMS & LAND & ASSETS,INTERNET,ALL CLASSES,ACCESS,OPERATIONS,OPERATIONS,TOTAL,NOT SPECIFIED
FARMS & LAND & ASSETS,INTERNET,ALL CLASSES,"ACCESS, VIA BROADBAND",OPERATIONS,OPERATIONS,TOTAL,NOT SPECIFIED
FARMS & LAND & ASSETS,INTERNET,ALL CLASSES,"ACCESS, VIA DIALUP",OPERATIONS,OPERATIONS,TOTAL,NOT SPECIFIED
FARMS & LAND & ASSETS,INTERNET,ALL CLASSES,"ACCESS, VIA MOBILE",OPERATIONS,OPERATIONS,TOTAL,NOT SPECIFIED
FARMS & LAND & ASSETS,INTERNET,ALL CLASSES,"ACCESS, VIA OTHER",OPERATIONS,OPERATIONS,TOTAL,NOT SPECIFIED
FARMS & LAND & ASSETS,INTERNET,ALL CLASSES,"ACCESS, VIA SATELLITE",OPERATIONS,OPERATIONS,TOTAL,NOT SPECIFIED
FARMS & LAND & ASSETS,INTERNET,ALL CLASSES,"ACCESS, VIA UNKNOWN METHOD",OPERATIONS,OPERATIONS,TOTAL,NOT SPECIFIED
PRODUCERS,PRODUCERS,(ALL),ALL PRODUCTION PRACTICES,PRODUCERS,PRODUCERS,TOTAL,NOT SPECIFIED
PRODUCERS,PRODUCERS,ALL CLASSES,ALL PRODUCTION PRACTICES,OPERATIONS,OPERATIONS,PRODUCERS,PRODUCERS: (1 PRODUCERS)
PRODUCERS,PRODUCERS,ALL CLASSES,ALL PRODUCTION PRACTICES,OPERATIONS,OPERATIONS,PRODUCERS,PRODUCERS: (2 PRODUCERS)
PRODUCERS,PRODUCERS,ALL CLASSES,ALL PRODUCTION PRACTICES,OPERATIONS,OPERATIONS,PRODUCERS,PRODUCERS: (3 PRODUCERS)
PRODUCERS,PRODUCERS,ALL CLASSES,ALL PRODUCTION PRACTICES,OPERATIONS,OPERATIONS,PRODUCERS,PRODUCERS: (4 PRODUCERS)
PRODUCERS,PRODUCERS,ALL CLASSES,ALL PRODUCTION PRACTICES,OPERATIONS,OPERATIONS,PRODUCERS,PRODUCERS: (5 OR MORE PRODUCERS)
PRODUCERS,PRODUCERS,ALL CLASSES,"DAYS WORKED OFF OPERATION, GE 200 DAYS",PRODUCERS,PRODUCERS,TOTAL,NOT SPECIFIED
PRODUCERS,PRODUCERS,ALL CLASSES,"PRIMARY OCCUPATION, FARMING",PRODUCERS,PRODUCERS,TOTAL,NOT SPECIFIED
PRODUCERS,PRODUCERS,ALL CLASSES,"RESIDENCE, ON OPERATION",PRODUCERS,PRODUCERS,TOTAL,NOT SPECIFIED
PRODUCERS,PRODUCERS,FEMALE,ALL PRODUCTION PRACTICES,OPERATIONS,OPERATIONS,TOTAL,NOT SPECIFIED
PRODUCERS,PRODUCERS,MALE,ALL PRODUCTION PRACTICES,OPERATIONS,OPERATIONS,TOTAL,NOT SPECIFIED
