region_desc,begin_code,util_practice_desc,commodity_desc,county_name,state_ansi,statisticcat_desc,watershed_desc,year,Value,state_name,congr_district_code,country_code,asd_code,watershed_code,zip_5,week_ending,load_time,state_alpha,source_desc,prodn_practice_desc,agg_level_desc,reference_period_desc,location_desc,asd_desc,class_desc,county_code,short_desc,domaincat_desc,country_name,group_desc,freq_desc,unit_desc,domain_desc,state_fips_code,end_code,sector_desc,county_ansi,CV_pct,var_name,description
,00,ALL UTILIZATION PRACTICES,LABOR,JEFFERSON,36,EXPENSE,,2022,466000.0,NEW YORK,,9000,20,00000000,,,2024-07-02 12:00:00.000,NY,CENSUS,ALL PRODUCTION PRACTICES,COUNTY,YEAR,"NEW YORK, NORTHERN, JEFFERSON",NORTHERN,CONTRACT,045,"LABOR, CONTRACT - EXPENSE, MEASURED IN $",NOT SPECIFIED,UNITED STATES,EXPENSES,ANNUAL,$,TOTAL,36,00,ECONOMICS,045,0.0,total_contract_labor_expenses,Total expenses for contract labor ($)
,00,ALL UTILIZATION PRACTICES,LABOR,LEWIS,36,EXPENSE,,2022,1225000.0,NEW YORK,,9000,20,00000000,,,2024-07-02 12:00:00.000,NY,CENSUS,ALL PRODUCTION PRACTICES,COUNTY,YEAR,"NEW YORK, NORTHERN, LEWIS",NORTHERN,CONTRACT,049,"LABOR, CONTRACT - EXPENSE, MEASURED IN $",NOT SPECIFIED,UNITED STATES,EXPENSES,ANNUAL,$,TOTAL,36,00,ECONOMICS,049,0.0,total_contract_labor_expenses,Total expenses for contract labor ($)
,00,ALL UTILIZATION PRACTICES,LABOR,ST LAWRENCE,36,EXPENSE,,2022,2117000.0,NEW YORK,,9000,20,00000000,,,2024-07-02 12:00:00.000,NY,CENSUS,ALL PRODUCTION PRACTICES,COUNTY,YEAR,"NEW YORK, NORTHERN, ST LAWRENCE",NORTHERN,CONTRACT,089,"LABOR, CONTRACT - EXPENSE, MEASURED IN $",NOT SPECIFIED,UNITED STATES,EXPENSES,ANNUAL,$,TOTAL,36,00,ECONOMICS,089,0.0,total_contract_labor_expenses,Total expenses for contract labor ($)
,00,ALL UTILIZATION PRACTICES,LABOR,CLINTON,36,EXPENSE,,2022,8745000.0,NEW YORK,,9000,30,00000000,,,2024-07-02 12:00:00.000,NY,CENSUS,ALL PRODUCTION PRACTICES,COUNTY,YEAR,"NEW YORK, NORTHEAST, CLINTON",NORTHEAST,CONTRACT,019,"LABOR, CONTRACT - EXPENSE, MEASURED IN $",NOT SPECIFIED,UNITED STATES,EXPENSES,ANNUAL,$,TOTAL,36,00,ECONOMICS,019,0.0,total_contract_labor_expenses,Total expenses for contract labor ($)
,00,ALL UTILIZATION PRACTICES,LABOR,ESSEX,36,EXPENSE,,2022,195000.0,NEW YORK,,9000,30,00000000,,,2024-07-02 12:00:00.000,NY,CENSUS,ALL PRODUCTION PRACTICES,COUNTY,YEAR,"NEW YORK, NORTHEAST, ESSEX",NORTHEAST,CONTRACT,031,"LABOR, CONTRACT - EXPENSE, MEASURED IN $",NOT SPECIFIED,UNITED STATES,EXPENSES,ANNUAL,$,TOTAL,36,00,ECONOMICS,031,0.0,total_contract_labor_expenses,Total expenses for contract labor ($)
,00,ALL UTILIZATION PRACTICES,LABOR,FRANKLIN,36,EXPENSE,,2022,217000.0,NEW YORK,,9000,30,00000000,,,2024-07-02 12:00:00.000,NY,CENSUS,ALL PRODUCTION PRACTICES,COUNTY,YEAR,"NEW YORK, NORTHEAST, FRANKLIN",NORTHEAST,CONTRACT,033,"LABOR, CONTRACT - EXPENSE, MEASURED IN $",NOT SPECIFIED,UNITED STATES,EXPENSES,ANNUAL,$,TOTAL,36,00,ECONOMICS,033,0.0,total_contract_labor_expenses,Total expenses for contract labor ($)
,00,ALL UTILIZATION PRACTICES,LABOR,WARREN,36,EXPENSE,,2022,72000.0,NEW YORK,,9000,30,00000000,,,2024-07-02 12:00:00.000,NY,CENSUS,ALL PRODUCTION PRACTICES,COUNTY,YEAR,"NEW YORK, NORTHEAST, WARREN",NORTHEAST,CONTRACT,113,"LABOR, CONTRACT - EXPENSE, MEASURED IN $",NOT SPECIFIED,UNITED STATES,EXPENSES,ANNUAL,$,TOTAL,36,00,ECONOMICS,113,0.0,total_contract_labor_expenses,Total expenses for contract labor ($)
,00,ALL UTILIZATION PRACTICES,LABOR,ERIE,36,EXPENSE,,2022,2665000.0,NEW YORK,,9000,40,00000000,,,2024-07-02 12:00:00.000,NY,CENSUS,ALL PRODUCTION PRACTICES,COUNTY,YEAR,"NEW YORK, WESTERN, ERIE",WESTERN,CONTRACT,029,"LABOR, CONTRACT - EXPENSE, MEASURED IN $",NOT SPECIFIED,UNITED STATES,EXPENSES,ANNUAL,$,TOTAL,36,00,ECONOMICS,029,0.0,total_contract_labor_expenses,Total expenses for contract labor ($)
,00,ALL UTILIZATION PRACTICES,LABOR,GENESEE,36,EXPENSE,,2022,5018000.0,NEW YORK,,9000,40,00000000,,,2024-07-02 12:00:00.000,NY,CENSUS,ALL PRODUCTION PRACTICES,COUNTY,YEAR,"NEW YORK, WESTERN, GENESEE",WESTERN,CONTRACT,037,"LABOR, CONTRACT - EXPENSE, MEASURED IN $",NOT SPECIFIED,UNITED STATES,EXPENSES,ANNUAL,$,TOTAL,36,00,ECONOMICS,037,0.0,total_contract_labor_expenses,Total expenses for contract labor ($)
,00,ALL UTILIZATION PRACTICES,LABOR,LIVINGSTON,36,EXPENSE,,2022,1355000.0,NEW YORK,,9000,40,00000000,,,2024-07-02 12:00:00.000,NY,CENSUS,ALL PRODUCTION PRACTICES,COUNTY,YEAR,"NEW YORK, WESTERN, LIVINGSTON",WESTERN,CONTRACT,051,"LABOR, CONTRACT - EXPENSE, MEASURED IN $",NOT SPECIFIED,UNITED STATES,EXPENSES,ANNUAL,$,TOTAL,36,00,ECONOMICS,051,0.0,total_contract_labor_expenses,Total expenses for contract labor ($)
,00,ALL UTILIZATION PRACTICES,LABOR,MONROE,36,EXPENSE,,2022,3885000.0,NEW YORK,,9000,40,00000000,,,2024-07-02 12:00:00.000,NY,CENSUS,ALL PRODUCTION PRACTICES,COUNTY,YEAR,"NEW YORK, WESTERN, MONROE",WESTERN,CONTRACT,055,"LABOR, CONTRACT - EXPENSE, MEASURED IN $",NOT SPECIFIED,UNITED STATES,EXPENSES,ANNUAL,$,TOTAL,36,00,ECONOMICS,055,0.0,total_contract_labor_expenses,Total expenses for contract labor ($)
