state_alpha,unit_desc,watershed_desc,Value,load_time,statisticcat_desc,prodn_practice_desc,group_desc,begin_code,class_desc,reference_period_desc,county_code,short_desc,congr_district_code,end_code,sector_desc,state_fips_code,week_ending,domaincat_desc,util_practice_desc,country_code,year,commodity_desc,state_ansi,asd_desc,location_desc,agg_level_desc,county_name,county_ansi,freq_desc,watershed_code,domain_desc,country_name,zip_5,region_desc,state_name,asd_code,source_desc,CV_pct,var_name,description
NY,OPERATIONS,,7,2018-02-01 12:00:00.000,AREA,ALL PRODUCTION PRACTICES,FARMS & LAND & ASSETS,00,"CROPLAND, HARVESTED",YEAR,,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,00,ECONOMICS,36,,AREA HARVESTED: (1.0 TO 49.9 ACRES),ALL UTILIZATION PRACTICES,9000,2017,AG LAND,36,,10509,ZIP CODE,,,ANNUAL,00000000,AREA HARVESTED,UNITED STATES,10509,,NEW YORK,,CENSUS,,number_small_farms,Number small farms (1.0 to 49.9 acres harvested cropland)
NY,OPERATIONS,,7,2018-02-01 12:00:00.000,AREA,ALL PRODUCTION PRACTICES,FARMS & LAND & ASSETS,00,"CROPLAND, HARVESTED",YEAR,,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,00,ECONOMICS,36,,AREA HARVESTED: (1.0 TO 49.9 ACRES),ALL UTILIZATION PRACTICES,9000,2017,AG LAND,36,,10512,ZIP CODE,,,ANNUAL,00000000,AREA HARVESTED,UNITED STATES,10512,,NEW YORK,,CENSUS,,number_small_farms,Number small farms (1.0 to 49.9 acres harvested cropland)
NY,OPERATIONS,,4,2018-02-01 12:00:00.000,AREA,ALL PRODUCTION PRACTICES,FARMS & LAND & ASSETS,00,"CROPLAND, HARVESTED",YEAR,,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,00,ECONOMICS,36,,AREA HARVESTED: (1.0 TO 49.9 ACRES),ALL UTILIZATION PRACTICES,9000,2017,AG LAND,36,,10516,ZIP CODE,,,ANNUAL,00000000,AREA HARVESTED,UNITED STATES,10516,,NEW YORK,,CENSUS,,number_small_farms,Number small farms (1.0 to 49.9 acres harvested cropland)
NY,OPERATIONS,,11,2018-02-01 12:00:00.000,AREA,ALL PRODUCTION PRACTICES,FARMS & LAND & ASSETS,00,"CROPLAND, HARVESTED",YEAR,,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,00,ECONOMICS,36,,AREA HARVESTED: (1.0 TO 49.9 ACRES),ALL UTILIZATION PRACTICES,9000,2017,AG LAND,36,,10524,ZIP CODE,,,ANNUAL,00000000,AREA HARVESTED,UNITED STATES,10524,,NEW YORK,,CENSUS,,number_small_farms,Number small farms (1.0 to 49.9 acres harvested cropland)
NY,OPERATIONS,,4,2018-02-01 12:00:00.000,AREA,ALL PRODUCTION PRACTICES,FARMS & LAND & ASSETS,00,"CROPLAND, HARVESTED",YEAR,,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,00,ECONOMICS,36,,AREA HARVESTED: (1.0 TO 49.9 ACRES),ALL UTILIZATION PRACTICES,9000,2017,AG LAND,36,,10535,ZIP CODE,,,ANNUAL,00000000,AREA HARVESTED,UNITED STATES,10535,,NEW YORK,,CENSUS,,number_small_farms,Number small farms (1.0 to 49.9 acres harvested cropland)
NY,OPERATIONS,,1,2018-02-01 12:00:00.000,AREA,ALL PRODUCTION PRACTICES,FARMS & LAND & ASSETS,00,"CROPLAND, HARVESTED",YEAR,,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,00,ECONOMICS,36,,AREA HARVESTED: (1.0 TO 49.9 ACRES),ALL UTILIZATION PRACTICES,9000,2017,AG LAND,36,,10541,ZIP CODE,,,ANNUAL,00000000,AREA HARVESTED,UNITED STATES,10541,,NEW YORK,,CENSUS,,number_small_farms,Number small farms (1.0 to 49.9 acres harvested cropland)
NY,OPERATIONS,,3,2018-02-01 12:00:00.000,AREA,ALL PRODUCTION PRACTICES,FARMS & LAND & ASSETS,00,"CROPLAND, HARVESTED",YEAR,,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,00,ECONOMICS,36,,AREA HARVESTED: (1.0 TO 49.9 ACRES),ALL UTILIZATION PRACTICES,9000,2017,AG LAND,36,,10579,ZIP CODE,,,ANNUAL,00000000,AREA HARVESTED,UNITED STATES,10579,,NEW YORK,,CENSUS,,number_small_farms,Number small farms (1.0 to 49.9 acres harvested cropland)
NY,OPERATIONS,,1,2018-02-01 12:00:00.000,AREA,ALL PRODUCTION PRACTICES,FARMS & LAND & ASSETS,00,"CROPLAND, HARVESTED",YEAR,,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,00,ECONOMICS,36,,AREA HARVESTED: (1.0 TO 49.9 ACRES),ALL UTILIZATION PRACTICES,9000,2017,AG LAND,36,,10916,ZIP CODE,,,ANNUAL,00000000,AREA HARVESTED,UNITED STATES,10916,,NEW YORK,,CENSUS,,number_small_farms,Number small farms (1.0 to 49.9 acres harvested cropland)
NY,OPERATIONS,,13,2018-02-01 12:00:00.000,AREA,ALL PRODUCTION PRACTICES,FARMS & LAND & ASSETS,00,"CROPLAND, HARVESTED",YEAR,,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,00,ECONOMICS,36,,AREA HARVESTED: (1.0 TO 49.9 ACRES),ALL UTILIZATION PRACTICES,9000,2017,AG LAND,36,,10918,ZIP CODE,,,ANNUAL,00000000,AREA HARVESTED,UNITED STATES,10918,,NEW YORK,,CENSUS,,number_small_farms,Number small farms (1.0 to 49.9 acres harvested cropland)
NY,OPERATIONS,,1,2018-02-01 12:00:00.000,AREA,ALL PRODUCTION PRACTICES,FARMS & LAND & ASSETS,00,"CROPLAND, HARVESTED",YEAR,,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,00,ECONOMICS,36,,AREA HARVESTED: (1.0 TO 49.9 ACRES),ALL UTILIZATION PRACTICES,9000,2017,AG LAND,36,,10919,ZIP CODE,,,ANNUAL,00000000,AREA HARVESTED,UNITED STATES,10919,,NEW YORK,,CENSUS,,number_small_farms,Number small farms (1.0 to 49.9 acres harvested cropland)
