zipcode,number_full_owner_operators,number_high_sales_farms,number_large_farms,number_low_sales_farms,number_medium_farms,number_medium_sales_farms,number_part_owner_operators,number_small_farms,number_tenant_operators,total_farms_harvesting,total_farms_selling,total_full_time_farmers,pct_small_farms,pct_medium_farms,pct_large_farms,pct_low_sales_farms,pct_medium_sales_farms,pct_high_sales_farms,total_operators,pct_full_owner_operators,pct_part_owner_operators,pct_tenant_operators,pct_full_time_farmers
10509,13.0,1.0,0.0,19.0,0.0,0.0,0.0,6.0,7.0,6.0,20.0,25.0,1.0,0.0,0.0,0.95,0.0,0.05,20.0,0.65,0.0,0.35,1.25
10512,4.0,0.0,0.0,5.0,0.0,0.0,1.0,5.0,0.0,5.0,5.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,0.8,0.2,0.0,0.6
10516,3.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,3.0,3.0,5.0,1.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,3.0,1.0,0.0,0.0,1.6666666666666667
10524,9.0,0.0,0.0,10.0,2.0,1.0,1.0,3.0,1.0,5.0,11.0,2.0,0.6,0.4,0.0,0.9090909090909091,0.09090909090909091,0.0,11.0,0.8181818181818182,0.09090909090909091,0.09090909090909091,0.18181818181818182
10541,5.0,0.0,0.0,11.0,0.0,0.0,0.0,6.0,6.0,6.0,11.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,11.0,0.45454545454545453,0.0,0.5454545454545454,0.5454545454545454
10579,7.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,7.0,7.0,19.0,1.0,0.0,0.0,1.0,0.0,0.0,7.0,1.0,0.0,0.0,2.7142857142857144
10910,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0
10915,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,3.0
10916,29.0,5.0,0.0,30.0,6.0,1.0,7.0,0.0,0.0,6.0,36.0,34.0,0.0,1.0,0.0,0.8333333333333334,0.027777777777777776,0.1388888888888889,36.0,0.8055555555555556,0.19444444444444445,0.0,0.9444444444444444
10918,8.0,5.0,0.0,6.0,6.0,2.0,2.0,7.0,3.0,13.0,13.0,16.0,0.5384615384615384,0.46153846153846156,0.0,0.46153846153846156,0.15384615384615385,0.38461538461538464,13.0,0.6153846153846154,0.15384615384615385,0.23076923076923078,1.2307692307692308
10919,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0
10921,3.0,1.0,1.0,7.0,3.0,0.0,3.0,2.0,2.0,6.0,8.0,9.0,0.3333333333333333,0.5,0.16666666666666666,0.875,0.0,0.125,8.0,0.375,0.375,0.25,1.125
10924,36.0,5.0,2.0,33.0,7.0,12.0,12.0,17.0,2.0,26.0,50.0,47.0,0.6538461538461539,0.2692307692307692,0.07692307692307693,0.66,0.24,0.1,50.0,0.72,0.24,0.04,0.94
10932,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
10933,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0
10940,57.0,2.0,0.0,55.0,16.0,14.0,12.0,20.0,2.0,36.0,71.0,77.0,0.5555555555555556,0.4444444444444444,0.0,0.7746478873239436,0.19718309859154928,0.028169014084507043,71.0,0.8028169014084507,0.16901408450704225,0.028169014084507043,1.0845070422535212
10941,20.0,2.0,1.0,18.0,3.0,6.0,6.0,0.0,0.0,4.0,26.0,20.0,0.0,0.75,0.25,0.6923076923076923,0.23076923076923078,0.07692307692307693,26.0,0.7692307692307693,0.23076923076923078,0.0,0.7692307692307693
