STATE,COUNTY,TRACT,BLOCK_GROUP,NAME,B25039_002E,B25039_001E,B25039_003E,B25057_001E,B25058_001E,B25059_001E,B25071_001E,B19013_001E,B01003_001E,B25003_003E,B25003_002E,B25003_001E,B25038_011E,B25038_010E,B25038_015E,B25038_014E,B25038_013E,B25038_012E,B25038_003E,B25038_002E,B25038_001E,B25038_008E,B25038_007E,B25038_006E,B25038_005E,B25038_004E,B25038_009E,B25056_018E,B25056_019E,B25056_016E,B25056_017E,B25056_014E,B25056_015E,B25056_012E,B25056_013E,B25056_010E,B25056_011E,B25056_026E,B25056_027E,B25056_024E,B25056_025E,B25056_022E,B25056_023E,B25056_020E,B25056_021E,B25056_009E,B25056_008E,B25056_006E,B25056_007E,B25056_004E,B25056_005E,B25056_002E,B25056_003E,B25056_001E,B25074_001E,B25074_003E,B25074_002E,B25074_005E,B25074_004E,B25074_007E,B25074_006E,B25074_009E,B25074_008E,B25074_013E,B25074_012E,B25074_015E,B25074_014E,B25074_017E,B25074_016E,B25074_019E,B25074_018E,B25074_011E,B25074_010E,B25074_025E,B25074_024E,B25074_027E,B25074_026E,B25074_029E,B25074_028E,B25074_021E,B25074_020E,B25074_023E,B25074_022E,B25074_037E,B25074_036E,B25074_039E,B25074_038E,B25074_031E,B25074_030E,B25074_033E,B25074_032E,B25074_035E,B25074_034E,B25074_049E,B25074_048E,B25074_041E,B25074_040E,B25074_043E,B25074_042E,B25074_045E,B25074_044E,B25074_047E,B25074_046E,B25074_051E,B25074_050E,B25074_053E,B25074_052E,B25074_055E,B25074_054E,B25074_057E,B25074_056E,B25074_059E,B25074_058E,B25074_061E,B25074_060E,B25074_063E,B25074_062E,B25074_064E,B25004_005E,B25004_006E,B25004_004E,B25004_003E,B25004_002E,B25004_001E,B25004_008E,B25004_007E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_001E,B19001_014E,B19001_015E,B19001_016E,B19001_017E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,GEOID
36,071,000501,1,"Block Group 1, Census Tract 5.01, Orange County, New York",2002.0,2011.0,2012.0,661.0,909.0,1052.0,40.8,35000.0,2070,441,83,524,258,41,0,12,36,94,0,83,524,9,21,0,53,0,441,65,90,0,9,38,36,24,27,13,0,0,0,0,0,0,0,139,0,0,0,0,0,0,0,441,0,441,441,0,83,0,0,0,0,51,0,0,0,0,0,0,0,0,31,31,32,0,0,74,41,89,0,0,139,24,0,0,0,0,46,0,0,50,0,12,27,0,12,0,46,0,0,0,0,12,0,0,0,0,0,0,0,41,41,0,0,0,0,0,0,0,0,0,0,0,34,50,16,0,81,41,12,27,83,24,16,17,524,0,17,21,24,50,77,22,12,36071000501
36,071,000501,2,"Block Group 2, Census Tract 5.01, Orange County, New York",1999.0,2011.0,2011.0,470.0,840.0,968.0,36.5,30144.0,596,323,24,347,188,0,14,0,39,82,9,24,347,0,0,15,0,0,323,51,69,10,0,0,0,11,0,0,60,0,14,0,0,0,0,26,29,0,0,0,53,0,0,309,0,323,323,0,51,0,0,24,0,14,0,0,0,0,0,24,0,14,67,105,13,0,5,26,0,22,0,0,42,0,11,0,0,29,83,0,0,0,22,0,0,0,10,0,25,0,29,0,0,10,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,24,33,9,0,16,26,0,22,51,41,64,0,347,10,0,9,0,0,25,73,10,36071000501
36,071,000501,3,"Block Group 3, Census Tract 5.01, Orange County, New York",2006.0,2013.0,2014.0,780.0,855.0,1104.0,29.2,56336.0,777,229,38,267,102,96,0,19,0,12,0,38,267,16,0,0,5,17,229,61,0,3,53,0,19,0,0,0,0,0,12,0,0,17,0,64,0,0,0,0,0,0,0,217,0,229,229,0,20,0,0,0,0,20,0,0,0,0,0,0,0,0,30,30,0,0,0,0,27,41,0,0,27,0,0,12,29,29,81,0,0,0,0,0,0,0,30,15,37,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,16,0,8,92,50,0,0,24,29,0,20,0,30,3,267,16,12,0,0,12,29,57,35,36071000501
36,079,011000,4,"Block Group 4, Census Tract 110, Putnam County, New York",1994.0,1996.0,2010.0,,1325.0,1413.0,31.7,132340.0,1745,46,561,607,23,0,0,11,0,12,23,561,607,104,141,83,158,52,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,46,0,46,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,11,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,20,0,21,31,607,11,81,177,92,12,23,79,42,36079011000
36,079,011000,1,"Block Group 1, Census Tract 110, Putnam County, New York",2002.0,2002.0,,,,,,150208.0,928,11,294,305,0,0,0,0,0,11,0,294,305,31,24,53,176,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,11,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,37,0,0,0,20,0,0,9,0,0,8,305,40,19,60,94,0,9,26,20,36079011000
36,027,300000,1,"Block Group 1, Census Tract 3000, Dutchess County, New York",1999.0,2009.0,2014.0,1123.0,1246.0,1708.0,24.8,60078.0,832,124,143,267,72,52,0,0,0,0,0,143,267,17,0,58,68,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,63,8,0,0,0,0,0,0,124,0,124,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,8,0,25,0,0,8,0,0,0,0,0,54,0,0,25,0,0,0,27,0,0,38,16,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,54,26,0,0,0,0,25,0,17,26,8,267,48,0,0,0,0,57,16,70,36027300000
36,027,300000,2,"Block Group 2, Census Tract 3000, Dutchess County, New York",2000.0,2010.0,2012.0,1052.0,1166.0,1323.0,41.0,42744.0,2212,657,236,893,331,124,0,0,54,148,0,236,893,33,15,70,106,12,657,19,14,0,10,9,0,16,0,0,0,0,0,0,0,58,0,360,150,0,0,12,9,0,0,657,0,657,657,0,43,0,0,0,0,34,9,12,0,0,0,9,0,0,27,48,0,8,16,187,71,133,0,0,282,0,0,0,0,0,64,0,0,72,0,0,61,0,0,9,21,0,34,0,0,0,0,0,0,0,0,0,0,87,87,0,0,0,0,0,0,0,0,0,0,28,42,102,32,0,160,64,20,127,43,39,9,91,893,71,12,0,38,30,71,41,77,36027300000
36,027,020004,1,"Block Group 1, Census Tract 200.04, Dutchess County, New York",2002.0,2002.0,2012.0,831.0,862.0,893.0,45.3,110156.0,477,9,170,179,5,0,0,0,0,4,8,170,179,7,25,41,68,21,9,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,9,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,11,0,0,26,0,0,0,4,10,4,5,0,12,16,179,28,31,13,18,13,6,3,16,36027020004
36,027,020004,2,"Block Group 2, Census Tract 200.04, Dutchess County, New York",2001.0,2001.0,,,,,,110375.0,1457,11,454,465,7,0,0,0,0,4,18,454,465,61,36,120,172,47,11,0,0,0,0,0,0,0,0,0,0,0,7,0,0,4,0,0,0,0,0,0,0,0,0,4,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,0,7,0,11,7,29,0,6,0,465,32,36,85,96,7,11,42,96,36027020004
36,027,020004,3,"Block Group 3, Census Tract 200.04, Dutchess County, New York",2000.0,2001.0,2012.0,,,,,122019.0,798,21,246,267,18,0,0,0,3,0,5,246,267,11,52,58,78,42,21,15,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,18,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,0,0,0,15,0,0,53,38,0,0,0,0,0,0,6,0,4,267,34,22,46,63,15,11,10,56,36027020004
