STATE,COUNTY,TRACT,BLOCK_GROUP,NAME,GEOID,GEOIDbg,bg_2020,B01003_001E,B25003_003E,B25003_002E,B25003_001E,B25038_011E,B25038_010E,B25038_015E,B25038_014E,B25038_013E,B25038_012E,B25038_003E,B25038_002E,B25038_001E,B25038_008E,B25038_007E,B25038_006E,B25038_005E,B25038_004E,B25038_009E,B25056_018E,B25056_019E,B25056_016E,B25056_017E,B25056_014E,B25056_015E,B25056_012E,B25056_013E,B25056_010E,B25056_011E,B25056_026E,B25056_027E,B25056_024E,B25056_025E,B25056_022E,B25056_023E,B25056_020E,B25056_021E,B25056_009E,B25056_008E,B25056_006E,B25056_007E,B25056_004E,B25056_005E,B25056_002E,B25056_003E,B25056_001E,B25074_001E,B25074_003E,B25074_002E,B25074_005E,B25074_004E,B25074_007E,B25074_006E,B25074_009E,B25074_008E,B25074_013E,B25074_012E,B25074_015E,B25074_014E,B25074_017E,B25074_016E,B25074_019E,B25074_018E,B25074_011E,B25074_010E,B25074_025E,B25074_024E,B25074_027E,B25074_026E,B25074_029E,B25074_028E,B25074_021E,B25074_020E,B25074_023E,B25074_022E,B25074_037E,B25074_036E,B25074_039E,B25074_038E,B25074_031E,B25074_030E,B25074_033E,B25074_032E,B25074_035E,B25074_034E,B25074_049E,B25074_048E,B25074_041E,B25074_040E,B25074_043E,B25074_042E,B25074_045E,B25074_044E,B25074_047E,B25074_046E,B25074_051E,B25074_050E,B25074_053E,B25074_052E,B25074_055E,B25074_054E,B25074_057E,B25074_056E,B25074_059E,B25074_058E,B25074_061E,B25074_060E,B25074_063E,B25074_062E,B25074_064E,B25004_005E,B25004_006E,B25004_004E,B25004_003E,B25004_002E,B25004_001E,B25004_008E,B25004_007E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_001E,B19001_014E,B19001_015E,B19001_016E,B19001_017E,B19001_010E,B19001_011E,B19001_012E,B19001_013E
36,001,014301,1,Block Group 1; Census Tract 143.01; Albany County; New York,36001014301,360010143011,360010143011,1020.0,57.0,333.0,390.0,33.0,0.0,0.0,0.0,0.0,24.0,21.0,333.0,390.0,83.0,38.0,56.0,117.0,18.0,57.0,0.0,8.0,7.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,57.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,14.0,17.0,25.0,15.0,14.0,390.0,78.0,15.0,59.0,9.0,18.0,0.0,22.0,62.0
36,001,014301,2,Block Group 2; Census Tract 143.01; Albany County; New York,36001014301,360010143012,360010143012,2028.0,242.0,505.0,747.0,127.0,42.0,8.0,0.0,7.0,58.0,60.0,505.0,747.0,69.0,49.0,96.0,204.0,27.0,242.0,86.0,15.0,31.0,0.0,0.0,40.0,7.0,15.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,0.0,242.0,242.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,28.0,0.0,7.0,8.0,12.0,13.0,38.0,8.0,0.0,55.0,7.0,0.0,0.0,0.0,25.0,31.0,0.0,0.0,15.0,0.0,0.0,23.0,0.0,29.0,0.0,6.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,20.0,0.0,65.0,45.0,0.0,35.0,47.0,37.0,16.0,32.0,8.0,41.0,36.0,747.0,46.0,65.0,83.0,101.0,7.0,40.0,61.0,92.0
36,001,014304,1,Block Group 1; Census Tract 143.04; Albany County; New York,36001014304,360010143041,360010143041,1092.0,81.0,428.0,509.0,16.0,0.0,0.0,0.0,0.0,65.0,56.0,428.0,509.0,15.0,92.0,95.0,124.0,46.0,81.0,0.0,0.0,16.0,0.0,13.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,81.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,13.0,13.0,0.0,0.0,0.0,0.0,16.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,17.0,15.0,52.0,0.0,0.0,0.0,46.0,509.0,65.0,9.0,32.0,0.0,0.0,71.0,26.0,101.0
36,001,014304,2,Block Group 2; Census Tract 143.04; Albany County; New York,36001014304,360010143042,360010143042,2422.0,233.0,605.0,838.0,77.0,11.0,0.0,54.0,16.0,75.0,16.0,605.0,838.0,74.0,148.0,116.0,138.0,113.0,233.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,65.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,233.0,54.0,233.0,233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,49.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,47.0,16.0,0.0,0.0,16.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,42.0,0.0,0.0,41.0,0.0,0.0,76.0,9.0,0.0,15.0,36.0,838.0,135.0,95.0,101.0,42.0,35.0,60.0,94.0,99.0
36,001,014401,1,Block Group 1; Census Tract 144.01; Albany County; New York,36001014401,360010144011,360010144011,1179.02640265,135.7201646048,347.2839506064,483.00411521120003,26.8363636353,7.9515151512,0.0,47.7090909072,8.9454545451,43.7333333316,0.0,348.0,483.00411521120003,28.0,75.0,89.0,88.0,68.0,135.1757575704,18.8848484841,0.0,0.0,7.9515151512,0.0,7.9515151512,20.8727272719,44.7272727255,0.0,0.0,0.0,26.8363636353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9515151512,0.0,0.0,108.33939393509999,0.0,135.1757575704,135.1757575704,0.0,9.939393939,0.0,0.0,0.0,0.0,9.939393939,0.0,0.0,0.0,0.0,0.0,7.9515151512,0.0,0.0,0.0,7.9515151512,0.0,0.0,0.0,0.0,0.0,26.8363636353,0.0,0.0,17.8909090902,8.9454545451,8.9454545451,26.8363636353,0.0,60.6303030279,60.6303030279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.9272727268,0.0,0.0,0.0,0.0,0.0,0.0,11.9272727268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.956600360800003,0.0,0.0,23.956600360800003,120.7811934857,72.86799276410001,0.0,18.9609053492,8.9814814812,9.979423868,53.888888887200004,9.979423868,0.0,48.8991769532,8.9814814812,483.00411521120003,46.9032921796,27.9423868304,45.9053497928,0.0,38.9197530852,34.927983538,87.8189300384,40.915637858800004
36,001,014401,2,Block Group 2; Census Tract 144.01; Albany County; New York,36001014401,360010144012,360010144012,1416.0,224.0,437.0,661.0,117.0,9.0,0.0,0.0,0.0,98.0,10.0,437.0,661.0,61.0,58.0,82.0,148.0,78.0,224.0,33.0,0.0,0.0,17.0,24.0,14.0,0.0,102.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.0,0.0,224.0,224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,9.0,25.0,0.0,15.0,0.0,9.0,0.0,78.0,0.0,0.0,62.0,38.0,0.0,0.0,0.0,0.0,19.0,43.0,0.0,8.0,13.0,0.0,14.0,0.0,17.0,0.0,19.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,54.0,0.0,44.0,29.0,74.0,17.0,0.0,32.0,20.0,28.0,661.0,89.0,35.0,32.0,24.0,33.0,38.0,72.0,94.0
36,001,014401,3,Block Group 3; Census Tract 144.01; Albany County; New York,36001014401,360010144013,360010144013,1571.0,47.0,503.0,550.0,32.0,0.0,0.0,5.0,10.0,0.0,10.0,503.0,550.0,130.0,46.0,110.0,114.0,93.0,47.0,0.0,5.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,47.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,77.0,45.0,0.0,30.0,9.0,33.0,0.0,8.0,0.0,41.0,0.0,550.0,61.0,72.0,0.0,12.0,37.0,36.0,72.0,139.0
36,001,014402,1,Block Group 1; Census Tract 144.02; Albany County; New York,36001014402,360010144021,360010144021,1697.97359735,325.2798353952,363.7160493936,688.9958847888,140.1636363647,89.0484848488,10.0,0.2909090928,18.0545454549,68.2666666684,0.0,363.0,688.9958847888,28.0,21.0,90.0,146.0,78.0,325.8242424296,54.1151515159,26.0,0.0,138.0484848488,36.0,22.0484848488,8.1272727281,8.2727272745,10.0,0.0,0.0,0.1636363647,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0484848488,0.0,0.0,325.6606060649,0.0,325.8242424296,325.8242424296,0.0,26.060606061,0.0,0.0,0.0,0.0,21.060606061,0.0,0.0,0.0,0.0,0.0,0.0484848488,0.0,0.0,16.0,16.0484848488,5.0,18.0,16.0,42.0,44.0,78.1636363647,0.0,0.0,131.1090909098,11.0545454549,0.0545454549,0.1636363647,0.0,10.3696969721,56.3696969721,0.0,0.0,0.0,59.0,0.0,19.0,0.0,18.0727272732,0.0,46.0,0.0,0.0,0.0,0.0,18.0727272732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0433996392,0.0,0.0,61.0433996392,88.2188065143,0.1320072359,0.0,89.0390946508,60.0185185188,18.020576132,78.1111111128,26.020576132,0.0,22.1008230468,29.0185185188,688.9958847888,75.0967078204,11.0576131696,0.09465020719999999,4.0,39.0802469148,77.072016462,40.1810699616,120.0843621412
36,001,014402,2,Block Group 2; Census Tract 144.02; Albany County; New York,36001014402,360010144022,360010144022,1569.0,204.0,466.0,670.0,103.0,37.0,0.0,18.0,9.0,37.0,23.0,466.0,670.0,126.0,34.0,71.0,147.0,65.0,204.0,45.0,9.0,34.0,26.0,9.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,9.0,9.0,0.0,10.0,26.0,0.0,204.0,0.0,204.0,204.0,0.0,26.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,9.0,0.0,0.0,20.0,38.0,0.0,0.0,9.0,22.0,25.0,30.0,0.0,0.0,66.0,10.0,0.0,0.0,0.0,10.0,19.0,0.0,0.0,9.0,21.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,9.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,26.0,0.0,0.0,63.0,27.0,0.0,25.0,18.0,36.0,20.0,55.0,29.0,28.0,47.0,670.0,40.0,20.0,17.0,22.0,7.0,49.0,112.0,145.0
36,001,014803,1,Block Group 1; Census Tract 148.03; Albany County; New York,36001014803,360010148031,360010148031,1471.0,80.0,518.0,598.0,23.0,15.0,0.0,0.0,0.0,42.0,0.0,518.0,598.0,80.0,85.0,118.0,141.0,94.0,80.0,16.0,0.0,7.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,80.0,0.0,80.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,7.0,37.0,0.0,0.0,0.0,16.0,12.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,29.0,15.0,0.0,245.0,122.0,0.0,45.0,8.0,0.0,10.0,0.0,25.0,77.0,29.0,598.0,78.0,26.0,71.0,23.0,23.0,59.0,38.0,86.0
36,001,014803,2,Block Group 2; Census Tract 148.03; Albany County; New York,36001014803,360010148032,360010148032,1910.0,64.0,661.0,725.0,15.0,0.0,0.0,12.0,10.0,27.0,0.0,661.0,725.0,76.0,116.0,175.0,256.0,38.0,64.0,0.0,0.0,0.0,0.0,15.0,0.0,12.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,54.0,0.0,64.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,0.0,0.0,116.0,0.0,0.0,16.0,28.0,11.0,13.0,9.0,0.0,27.0,11.0,725.0,170.0,79.0,46.0,41.0,25.0,60.0,59.0,130.0
