STATE,COUNTY,TRACT,BLOCK_GROUP,NAME,B25039_002E,B25039_001E,B25039_003E,B25057_001E,B25058_001E,B25059_001E,B25071_001E,B19013_001E,B01003_001E,B25003_003E,B25003_002E,B25003_001E,B25038_011E,B25038_010E,B25038_015E,B25038_014E,B25038_013E,B25038_012E,B25038_003E,B25038_002E,B25038_001E,B25038_008E,B25038_007E,B25038_006E,B25038_005E,B25038_004E,B25038_009E,B25056_018E,B25056_019E,B25056_016E,B25056_017E,B25056_014E,B25056_015E,B25056_012E,B25056_013E,B25056_010E,B25056_011E,B25056_026E,B25056_027E,B25056_024E,B25056_025E,B25056_022E,B25056_023E,B25056_020E,B25056_021E,B25056_009E,B25056_008E,B25056_006E,B25056_007E,B25056_004E,B25056_005E,B25056_002E,B25056_003E,B25056_001E,B25074_001E,B25074_003E,B25074_002E,B25074_005E,B25074_004E,B25074_007E,B25074_006E,B25074_009E,B25074_008E,B25074_013E,B25074_012E,B25074_015E,B25074_014E,B25074_017E,B25074_016E,B25074_019E,B25074_018E,B25074_011E,B25074_010E,B25074_025E,B25074_024E,B25074_027E,B25074_026E,B25074_029E,B25074_028E,B25074_021E,B25074_020E,B25074_023E,B25074_022E,B25074_037E,B25074_036E,B25074_039E,B25074_038E,B25074_031E,B25074_030E,B25074_033E,B25074_032E,B25074_035E,B25074_034E,B25074_049E,B25074_048E,B25074_041E,B25074_040E,B25074_043E,B25074_042E,B25074_045E,B25074_044E,B25074_047E,B25074_046E,B25074_051E,B25074_050E,B25074_053E,B25074_052E,B25074_055E,B25074_054E,B25074_057E,B25074_056E,B25074_059E,B25074_058E,B25074_061E,B25074_060E,B25074_063E,B25074_062E,B25074_064E,B25004_005E,B25004_006E,B25004_004E,B25004_003E,B25004_002E,B25004_001E,B25004_008E,B25004_007E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_001E,B19001_014E,B19001_015E,B19001_016E,B19001_017E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,GEOID
36,001,014301,1,Block Group 1; Census Tract 143.01; Albany County; New York,1998,2000,-666666666,,,,,84063.0,731,22,329,351,7,0,0,0,0,15,0,329,351,102,75,47,105,0,22,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,15,0,0,0,0,0,0,0,15,0,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,22,0,0,0,0,0,0,7,0,0,0,0,0,27,27,0,0,21,21,0,0,0,0,40,351,54,18,21,57,17,24,12,66,36001014301
36,001,014301,2,Block Group 2; Census Tract 143.01; Albany County; New York,2005,2011,2016,784.0,902.0,978.0,28.7,74459.0,2265,353,591,944,95,40,11,12,35,160,10,591,944,165,62,129,215,10,353,72,117,0,42,24,12,13,0,0,0,0,0,11,0,8,8,11,24,0,0,0,0,0,11,353,0,353,353,0,24,0,0,0,0,13,0,0,0,0,0,12,0,0,42,54,11,0,0,42,12,37,0,11,77,12,0,0,0,28,58,0,0,25,12,0,0,0,50,11,11,8,0,0,0,58,0,8,0,0,0,0,0,34,45,0,11,0,0,0,0,0,0,0,0,0,37,125,88,0,89,0,26,70,35,42,12,24,944,168,51,112,48,66,11,105,85,36001014301
36,001,014304,1,Block Group 1; Census Tract 143.04; Albany County; New York,1989,2000,2004,916.0,949.0,982.0,46.7,34597.0,238,71,127,198,0,0,9,8,49,5,0,127,198,65,16,36,0,10,71,0,54,9,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,71,0,71,71,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0,5,5,0,0,0,8,41,0,0,0,49,0,0,0,0,0,8,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,15,16,9,5,0,18,198,10,8,0,0,21,8,0,16,36001014304
36,001,014304,2,Block Group 2; Census Tract 143.04; Albany County; New York,2004,2012,2017,1602.0,1735.0,1867.0,26.7,102250.0,2853,462,700,1162,182,29,0,0,0,251,9,700,1162,152,132,180,191,36,462,0,14,0,0,0,0,0,0,0,0,0,13,0,0,423,0,12,0,0,0,0,0,0,0,449,0,462,462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,26,0,70,0,0,0,0,0,0,0,14,12,0,29,0,0,29,213,0,0,199,0,0,0,0,140,153,0,0,0,0,0,0,13,0,0,0,0,94,129,35,0,0,92,23,32,0,0,0,0,1162,67,172,201,150,26,52,70,277,36001014304
36,001,014401,1,Block Group 1; Census Tract 144.01; Albany County; New York,1999,2011,2015,834.0,916.0,958.0,38.8,93942.0,792,106,235,341,18,0,0,0,0,88,0,235,341,21,103,32,79,0,106,25,63,0,0,8,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,106,106,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,64,0,0,10,0,0,0,0,0,10,0,0,0,0,39,25,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,14,14,0,0,0,0,0,0,0,29,0,0,0,49,290,212,0,10,0,20,39,8,0,11,0,341,82,38,14,31,34,0,20,34,36001014401
36,001,014401,2,Block Group 2; Census Tract 144.01; Albany County; New York,2005,2007,2016,551.0,788.0,874.0,29.3,85221.0,2192,177,738,915,65,0,0,31,0,81,26,738,915,57,158,285,165,47,177,50,31,0,31,0,10,14,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,30,177,177,0,31,0,0,0,0,31,0,0,0,0,0,0,0,0,31,31,0,11,0,0,10,69,0,0,21,0,0,0,0,14,14,0,30,0,39,0,0,0,11,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,0,22,9,38,0,31,31,12,62,915,37,52,126,173,52,108,61,101,36001014401
36,001,014401,3,Block Group 3; Census Tract 144.01; Albany County; New York,2002,2004,-666666666,764.0,1045.0,1148.0,33.6,110208.0,1010,21,430,451,0,0,0,0,0,21,0,430,451,142,61,61,127,39,21,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,21,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,9,0,0,12,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,58,0,9,0,47,12,0,0,0,0,451,57,40,47,83,32,34,39,51,36001014401
36,001,014402,1,Block Group 1; Census Tract 144.02; Albany County; New York,2007,2010,2014,772.0,880.0,945.0,34.9,66667.0,1547,236,442,678,50,0,0,32,13,141,0,442,678,84,15,186,118,39,236,51,108,0,32,0,13,0,21,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,236,0,236,236,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,11,0,0,10,13,80,84,0,0,103,0,0,0,0,9,22,0,0,36,24,0,24,0,16,0,13,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,97,47,0,29,91,53,62,0,11,0,30,678,81,32,116,10,18,22,27,96,36001014402
36,001,014402,2,Block Group 2; Census Tract 144.02; Albany County; New York,2007,2013,2016,514.0,905.0,968.0,25.6,69069.0,1712,263,465,728,101,0,0,6,0,156,0,465,728,88,62,120,108,87,263,0,90,0,0,16,6,0,24,0,0,0,36,0,0,0,0,28,0,0,0,0,0,0,63,227,0,263,263,0,0,0,0,0,0,0,0,0,0,8,55,0,0,0,30,93,0,16,0,0,0,11,36,0,52,0,0,0,0,0,49,0,0,11,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,58,58,0,0,0,0,0,0,0,0,43,0,0,0,125,82,0,21,37,11,25,16,71,47,42,728,40,50,105,22,6,30,190,15,36001014402
36,001,014803,1,Block Group 1; Census Tract 148.03; Albany County; New York,2001,2002,-666666666,325.0,503.0,562.0,28.2,71838.0,1490,28,649,677,0,15,0,0,13,0,0,649,677,222,83,142,174,28,28,0,0,0,0,0,0,0,13,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,13,0,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,0,0,0,268,56,0,31,0,26,30,6,23,0,26,677,66,52,134,0,22,40,139,82,36001014803
36,001,014803,2,Block Group 2; Census Tract 148.03; Albany County; New York,2002,2003,2016,534.0,597.0,880.0,22.0,98977.0,1717,112,408,520,37,11,0,38,0,26,0,408,520,133,41,191,43,0,112,22,0,0,0,0,0,11,16,11,0,0,38,0,0,0,0,14,0,0,0,0,0,0,0,74,0,112,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,23,0,0,9,0,0,0,0,11,65,11,0,12,0,0,0,0,10,0,16,0,0,0,0,10,38,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,92,0,0,0,121,29,0,4,9,40,0,0,0,21,12,520,74,10,121,37,0,85,16,91,36001014803
36,021,000100,1,Block Group 1; Census Tract 1; Columbia County; New York,1998,1999,2010,554.0,634.0,1027.0,25.8,72446.0,1409,41,488,529,5,0,0,8,13,15,0,488,529,92,183,98,69,46,41,0,0,0,5,8,0,8,3,0,0,0,8,0,0,2,0,7,0,0,0,0,0,0,0,33,0,41,41,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8,0,0,0,0,0,8,0,0,0,0,0,0,0,8,10,0,0,0,8,0,0,0,0,2,0,0,0,0,0,8,0,0,0,0,0,8,0,7,7,0,0,0,0,0,0,0,4,97,15,0,12,172,44,0,18,7,29,66,18,0,14,2,529,63,32,18,59,29,18,97,59,36021000100
36,021,000100,2,Block Group 2; Census Tract 1; Columbia County; New York,2010,2013,2016,693.0,831.0,1052.0,23.9,92813.0,890,112,302,414,40,0,0,0,12,60,0,302,414,60,43,46,75,78,112,18,7,3,14,0,12,0,0,0,0,0,15,0,0,6,0,23,0,0,14,0,0,0,0,97,0,112,112,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,3,0,14,7,0,0,0,0,21,0,0,0,0,0,24,0,0,0,0,0,0,0,12,5,19,0,0,0,0,12,0,0,0,0,0,0,0,17,35,0,6,0,0,0,0,12,4,64,15,0,15,124,26,0,13,14,18,5,3,22,29,12,414,43,83,50,20,0,35,21,46,36021000100
36,021,000200,1,Block Group 1; Census Tract 2; Columbia County; New York,2003,2002,1998,1287.0,1369.0,1452.0,42.5,120694.0,755,74,253,327,16,0,9,33,12,4,0,253,327,59,44,78,37,35,74,0,3,0,0,0,0,0,0,0,0,0,45,0,0,3,0,1,22,0,0,0,0,0,0,29,0,74,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,3,12,0,25,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,45,0,0,0,0,0,0,33,0,194,8,0,0,222,20,0,8,16,7,4,4,13,6,10,327,34,25,89,43,3,13,16,36,36021000200
36,021,000200,2,Block Group 2; Census Tract 2; Columbia County; New York,1999,2002,2018,776.0,875.0,,27.3,94375.0,906,55,398,453,19,11,0,0,14,11,4,398,453,130,76,88,68,32,55,10,0,7,11,0,0,0,0,0,0,7,4,0,0,7,0,9,0,0,0,0,0,0,0,51,0,55,55,0,8,0,0,0,0,8,0,0,0,0,0,0,0,4,3,7,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,4,0,0,10,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,0,0,0,0,0,0,0,0,104,9,0,0,162,49,0,0,15,5,30,26,7,55,0,453,41,62,51,65,7,28,21,40,36021000200
