bg2010gj,bg2010ge,bg2020gj,bg2020ge,parea,wt_pop,wt_adult,wt_fam,wt_hh,wt_hu,wt_ownhu,wt_renthu
G34003102568021,340312568021,G34003102568013,340312568013,0.0004593879,0.0060855997,0.0070321004,0.0059965514,0.0069649682,0.0072205897,0.0085331043,0
G34003102568021,340312568021,G34003102568021,340312568021,0.9995386914,0.9939144003,0.9929678996,0.9940034486,0.9930350318,0.9927794103,0.9914668957,1
G34003102568021,340312568021,G36007100148013,360710148013,0.0000019207,0,0,0,0,0,0,0
G36000100001001,360010001001,G36000100001001,360010001001,1,1,1,1,1,1,1,1
G36000100001002,360010001002,G36000100001002,360010001002,1,1,1,1,1,1,1,1
G36000100002001,360010002001,G36000100002021,360010002021,0.1771276221,0.6629603892,0.65,0.6423357664,0.6820960699,0.6824212272,0.4236111111,0.7192807193
G36000100002001,360010002001,G36000100002022,360010002022,0.8174876871,0.3370396108,0.35,0.3576642336,0.3179039301,0.3175787728,0.5763888889,0.2807192807
G36000100002001,360010002001,G36000100011001,360010011001,0.0053846908,0,0,0,0,0,0,0
G36000100002002,360010002002,G36000100002011,360010002011,1,1,1,1,1,1,1,1
G36000100002003,360010002003,G36000100002012,360010002012,1,1,1,1,1,1,1,1
G36000100002004,360010002004,G36000100002013,360010002013,1,1,1,1,1,1,1,1
G36000100003001,360010003001,G36000100003021,360010003021,1,1,1,1,1,1,1,1
G36000100003002,360010003002,G36000100003011,360010003011,1,1,1,1,1,1,1,1
G36000100003003,360010003003,G36000100003022,360010003022,1,1,1,1,1,1,1,1
G36000100003004,360010003004,G36000100003012,360010003012,0.478855594,0.8653075193,0.8662604625,0.8793388152,0.8689725809,0.8649105234,0.7748503243,0.8907813965
G36000100003004,360010003004,G36000100003021,360010003021,0.518334454,0.1346924807,0.1337395375,0.1206611848,0.1310274191,0.1350894766,0.2251496757,0.1092186035
G36000100003004,360010003004,G36000100003022,360010003022,0.002809952,0,0,0,0,0,0,0
G36000100004011,360010004011,G36000100004011,360010004011,0.9968767287,1,1,1,1,1,1,1
G36000100004011,360010004011,G36000100004041,360010004041,0.0031232713,0,0,0,0,0,0,0
G36000100004031,360010004031,G36000100004031,360010004031,1,1,1,1,1,1,1,1
G36000100004032,360010004032,G36000100004032,360010004032,1,1,1,1,1,1,1,1
G36000100004033,360010004033,G36000100004033,360010004033,1,1,1,1,1,1,1,1
G36000100004034,360010004034,G36000100004034,360010004034,1,1,1,1,1,1,1,1
G36000100004041,360010004041,G36000100004041,360010004041,1,1,1,1,1,1,1,1
G36000100005011,360010005011,G36000100005011,360010005011,1,1,1,1,1,1,1,1
G36000100005012,360010005012,G36000100005012,360010005012,1,1,1,1,1,1,1,1
G36000100005013,360010005013,G36000100005013,360010005013,1,1,1,1,1,1,1,1
G36000100005014,360010005014,G36000100005014,360010005014,1,1,1,1,1,1,1,1
G36000100005021,360010005021,G36000100005021,360010005021,1,1,1,1,1,1,1,1
G36000100005022,360010005022,G36000100005022,360010005022,1,1,1,1,1,1,1,1
G36000100006001,360010006001,G36000100006001,360010006001,1,1,1,1,1,1,1,1
G36000100006002,360010006002,G36000100006002,360010006002,1,1,1,1,1,1,1,1
G36000100006003,360010006003,G36000100006003,360010006003,1,1,1,1,1,1,1,1
G36000100007001,360010007001,G36000100007001,360010007001,1,1,1,1,1,1,1,1
G36000100007002,360010007002,G36000100007002,360010007002,1,1,1,1,1,1,1,1
G36000100007003,360010007003,G36000100007003,360010007003,1,1,1,1,1,1,1,1
G36000100007004,360010007004,G36000100007004,360010007004,1,1,1,1,1,1,1,1
G36000100008001,360010008001,G36000100008001,360010008001,1,1,1,1,1,1,1,1
G36000100008002,360010008002,G36000100008002,360010008002,1,1,1,1,1,1,1,1
G36000100008003,360010008003,G36000100008003,360010008003,1,1,1,1,1,1,1,1
G36000100011001,360010011001,G36000100011001,360010011001,0.9990071055,1,1,1,1,1,1,1
G36000100011001,360010011001,G36000100025002,360010025002,0.0009928945,0,0,0,0,0,0,0
G36000100014001,360010014001,G36000100014001,360010014001,0.4925277799,0.5855153203,0.5823529412,0.5919282511,0.582781457,0.5865595325,0.599137931,0.5788934426
G36000100014001,360010014001,G36000100014004,360010014004,0.5074722201,0.4144846797,0.4176470588,0.4080717489,0.417218543,0.4134404675,0.400862069,0.4211065574
G36000100014002,360010014002,G36000100014002,360010014002,0.7810746378,0.7961538462,0.802259887,0.78125,0.7944572748,0.802672148,0.8823529412,0.7755960729
G36000100014002,360010014002,G36000100014003,360010014003,0.2189253622,0.2038461538,0.197740113,0.21875,0.2055427252,0.197327852,0.1176470588,0.2244039271
G36000100014003,360010014003,G36000100014003,360010014003,1,1,1,1,1,1,1,1
G36000100015001,360010015001,G36000100015001,360010015001,1,1,1,1,1,1,1,1
G36000100015002,360010015002,G36000100015002,360010015002,1,1,1,1,1,1,1,1
G36000100015003,360010015003,G36000100015003,360010015003,1,1,1,1,1,1,1,1
G36000100015004,360010015004,G36000100015004,360010015004,1,1,1,1,1,1,1,1
G36000100016001,360010016001,G36000100016001,360010016001,1,1,1,1,1,1,1,1
G36000100016002,360010016002,G36000100016002,360010016002,1,1,1,1,1,1,1,1
G36000100016003,360010016003,G36000100016003,360010016003,1,1,1,1,1,1,1,1
G36000100016004,360010016004,G36000100016004,360010016004,1,1,1,1,1,1,1,1
G36000100017001,360010017001,G36000100017001,360010017001,1,1,1,1,1,1,1,1
G36000100017002,360010017002,G36000100017002,360010017002,1,1,1,1,1,1,1,1
G36000100017003,360010017003,G36000100017003,360010017003,1,1,1,1,1,1,1,1
G36000100017004,360010017004,G36000100017003,360010017003,1,1,1,1,1,1,1,1
G36000100018011,360010018011,G36000100018031,360010018031,1,1,1,1,1,1,1,1
G36000100018012,360010018012,G36000100017003,360010017003,0.0009352573,0,0,0,0,0,0,0
G36000100018012,360010018012,G36000100018021,360010018021,0.0048296074,0.0061693054,0.006230137,0.0054,0.0053158442,0.005196118,0.0065090642,0.0024256
G36000100018012,360010018012,G36000100018032,360010018032,0.9942351352,0.9938306946,0.993769863,0.9946,0.9946841558,0.994803882,0.9934909358,0.9975744
G36000100018013,360010018013,G36000100018041,360010018041,1,1,1,1,1,1,1,1
G36000100018014,360010018014,G36000100018033,360010018033,0.9982520448,1,1,1,1,1,1,1
G36000100018014,360010018014,G36000100018043,360010018043,0.0017479552,0,0,0,0,0,0,0
G36000100018015,360010018015,G36000100018042,360010018042,0.7484332141,0.5232613909,0.5329341317,0.521023766,0.5504672897,0.551293488,0.4959459459,0.6727272727
G36000100018015,360010018015,G36000100018043,360010018043,0.2515667859,0.4767386091,0.4670658683,0.478976234,0.4495327103,0.448706512,0.5040540541,0.3272727273
